Agent,Game,Action balanced replay buffer,Abandon ship,Grammar,Seed,25000,50000,75000,100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000
With Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,1136464578,82.5,237.5,291.666667,413.333333,263.333333,273.333333,365.833333,507.5,495.833333,575,616.666667,578.333333,700,482.5
With Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,3654173039,263.333333,300.833333,121.666667,201.666667,317.5,415,532.5,491.666667,544.166667,625.833333,665.833333,585.833333,475,496.666667
With Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,2573980213,132.5,156.666667,240,315.833333,405.833333,360.833333,604.166667,602.5,602.5,648.333333,642.5,702.5,641.666667,901.666667
With Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,853286407,1.666667,296.666667,171.666667,406.666667,400,467.5,650,636.666667,635,353.333333,754.166667,610.833333,597.5,739.166667
DDQN,Hindsight Action Replay Ablation Study,N/A,N/A,N/A,3371768399,20.833333,29.166667,253.333333,300,318.333333,353.333333,181.666667,433.333333,415.833333,337.5,248.333333,465,302.5,449.166667
DDQN,Hindsight Action Replay Ablation Study,N/A,N/A,N/A,1136464578,60,197.5,151.666667,242.5,170.833333,389.166667,500,327.5,315,345.833333,340,222.5,342.5,380
DDQN,Hindsight Action Replay Ablation Study,N/A,N/A,N/A,3654173039,145,268.333333,355.833333,326.666667,281.666667,317.5,202.5,244.166667,335,383.333333,449.166667,184.166667,308.333333,387.5
DDQN,Hindsight Action Replay Ablation Study,N/A,N/A,N/A,2573980213,204.166667,125.833333,242.5,126.666667,208.333333,300.833333,286.666667,156.666667,392.5,297.5,295.833333,375.833333,429.166667,392.5
DDQN,Hindsight Action Replay Ablation Study,N/A,N/A,N/A,853286407,290.833333,265.833333,277.5,326.666667,365.833333,416.666667,436.666667,315,383.333333,324.166667,467.5,275.833333,422.5,388.333333
DDQN,Transfer Learning Ablation Study,N/A,N/A,N/A,3371768399,20.833333,29.166667,253.333333,300,318.333333,353.333333,181.666667,433.333333,415.833333,337.5,248.333333,465,302.5,449.166667
DDQN,Transfer Learning Ablation Study,N/A,N/A,N/A,1136464578,60,197.5,151.666667,242.5,170.833333,389.166667,500,327.5,315,345.833333,340,222.5,342.5,380
DDQN,Transfer Learning Ablation Study,N/A,N/A,N/A,3654173039,145,268.333333,355.833333,326.666667,281.666667,317.5,202.5,244.166667,335,383.333333,449.166667,184.166667,308.333333,387.5
DDQN,Transfer Learning Ablation Study,N/A,N/A,N/A,2573980213,204.166667,125.833333,242.5,126.666667,208.333333,300.833333,286.666667,156.666667,392.5,297.5,295.833333,375.833333,429.166667,392.5
DDQN,Transfer Learning Ablation Study,N/A,N/A,N/A,853286407,290.833333,265.833333,277.5,326.666667,365.833333,416.666667,436.666667,315,383.333333,324.166667,467.5,275.833333,422.5,388.333333
